t,energy
1.0191220215843858e11,-1.4874405592983364e27
1.0208607323281874e11,-1.4874405539258466e27
1.0225994430719891e11,-1.4874405502063414e27
1.0243381538157907e11,-1.4874405482612415e27
1.0260768645595924e11,-1.4874405480130977e27
1.027815575303394e11,-1.4874405477331623e27
1.0295542860471957e11,-1.4874405474208384e27
1.0312929967909973e11,-1.487440547075695e27
1.033031707534799e11,-1.4874405466972869e27
1.0347704182786006e11,-1.4874403115544426e27
1.0365091290224023e11,-1.4874398367819754e27
1.0382478397662039e11,-1.4874391586034387e27
1.0399865505100056e11,-1.487438320819229e27
1.0417252612538074e11,-1.4874373725593176e27
1.043463971997609e11,-1.4874363658896474e27
1.0452026827414107e11,-1.4874353533834027e27
1.0469413934852122e11,-1.487434385765649e27
1.048680104229014e11,-1.4874335097326176e27
1.0504188149728156e11,-1.4874327660354573e27
1.0521575257166173e11,-1.487432187903384e27
1.0538962364604189e11,-1.4874317998633312e27
1.0556349472042206e11,-1.4874316169935341e27
1.0573736579480222e11,-1.48743161553861e27
1.0591123686918239e11,-1.4874316138903478e27
1.0608510794356255e11,-1.4874316120231608e27
1.0625897901794272e11,-1.4874316099105237e27
1.0643285009232288e11,-1.4874316075249848e27
1.0660672116670305e11,-1.4874316048377454e27
1.067805922410832e11,-1.4874316006797005e27
1.0695446331546338e11,-1.487431594825597e27
1.0712833438984354e11,-1.487431587332784e27
1.0730220546422371e11,-1.4874315782661447e27
1.0747607653860387e11,-1.4874315677092652e27
1.0764994761298404e11,-1.4874315557997755e27
1.078238186873642e11,-1.4874315428192277e27
1.0799768976174437e11,-1.4874315293878723e27
1.0817156083612453e11,-1.4874315167715737e27
1.083454319105047e11,-1.487431506974613e27
1.0851930298488486e11,-1.4874315017772775e27
1.0869317405926503e11,-1.487431389214785e27
1.0886704513364519e11,-1.4874310886728119e27
1.0904091620802536e11,-1.4874306242980632e27
1.0921478728240552e11,-1.4874300276678004e27
1.0938865835678569e11,-1.4874293359847933e27
1.0956252943116585e11,-1.4874285896053815e27
1.0973640050554602e11,-1.4874278297718626e27
1.0991027157992618e11,-1.4874270966340989e27
1.1008414265430635e11,-1.4874264274968496e27
1.1025801372868651e11,-1.4874258552890714e27
1.1043188480306668e11,-1.487425407290006e27
1.1060575587744684e11,-1.4874251041528555e27
